                                     | Core 0    
  Instructions                       |  223330697
  Cycles                             |   89418028
  IPC                                |       2.50
  Time (ns)                          |   33615800
  Idle time (ns)                     |      13395
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |   38364438
  num incorrect                      |     442761
  misprediction rate                 |      1.14%
  mpki                               |       1.98
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   35165323
    num misses                       |        102
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   78889864
    num misses                       |       1179
    miss rate                        |      0.00%
    mpki                             |       0.01
  L2 TLB                             |           
    num accesses                     |       1281
    num misses                       |        731
    miss rate                        |     57.06%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   35165323
    num cache misses                 |       2151
    miss rate                        |      0.01%
    mpki                             |       0.01
  Cache L1-D                         |           
    num cache accesses               |   78889864
    num cache misses                 |      63824
    miss rate                        |      0.08%
    mpki                             |       0.29
  Cache L2                           |           
    num cache accesses               |      66043
    num cache misses                 |      65265
    miss rate                        |     98.82%
    mpki                             |       0.29
  Cache L3                           |           
    num cache accesses               |      65336
    num cache misses                 |      26927
    miss rate                        |     41.21%
    mpki                             |       0.12
DRAM summary                         |           
  num dram accesses                  |      26927
  average dram access latency (ns)   |    1095.33
  average dram queueing delay        |    1041.90
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |       8118
  num loads from dram cache          |          0
  num loads from remote cache        |          0
