45407
f	p	v	t
15	-1	15	0
16	0	16	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	14
24	11	24	14
34	12	34	0
49	13	49	0
15	-1	15	0
19	15	19	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
19	48	19	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
19	65	19	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
16	72	16	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
16	82	16	0
15	-1	15	0
15	-1	15	0
19	85	19	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	102
17	97	17	0
15	-1	15	102
15	-1	15	0
28	99	28	0
42	101	42	0
15	-1	15	0
16	103	16	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
26	125	26	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	144
29	139	29	144
43	140	43	144
58	141	58	144
71	142	71	0
72	143	72	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
16	148	16	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	171
30	160	30	171
45	161	45	171
58	162	58	171
72	163	72	171
87	164	87	171
100	165	100	171
101	166	101	171
108	167	108	171
109	168	109	171
122	169	122	0
129	170	129	0
15	-1	15	0
15	-1	15	0
24	173	24	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	185
30	182	30	185
31	183	31	0
44	184	44	0
15	-1	15	188
30	186	30	0
38	187	38	0
15	-1	15	0
15	-1	15	195
19	190	19	195
33	191	33	0
15	-1	15	195
28	193	28	0
43	194	43	0
15	-1	15	0
15	-1	15	0
15	-1	15	200
24	198	24	0
39	199	39	0
15	-1	15	204
30	201	30	204
39	202	39	0
54	203	54	0
15	-1	15	0
19	205	19	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	222
25	216	25	222
29	217	29	222
39	218	39	222
42	219	42	222
50	220	50	0
64	221	64	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
27	228	27	0
15	-1	15	232
26	230	26	0
41	231	41	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	251
25	248	25	251
40	249	40	0
55	250	55	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	274
30	266	30	274
31	267	31	274
46	268	46	274
60	269	60	274
69	270	69	274
83	271	83	274
98	272	98	0
112	273	112	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	283
27	278	27	283
35	279	35	283
39	280	39	283
54	281	54	0
69	282	69	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	300
30	297	30	300
44	298	44	0
57	299	57	0
15	-1	15	0
15	-1	15	0
15	-1	15	318
19	303	19	318
34	304	34	318
47	305	47	318
52	306	52	318
66	307	66	318
72	308	72	318
73	309	73	318
87	310	87	318
94	311	94	318
109	312	109	318
112	313	112	318
121	314	121	318
135	315	135	318
136	316	136	0
143	317	143	0
15	-1	15	0
30	319	30	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
30	324	30	0
15	-1	15	332
27	326	27	332
42	327	42	332
49	328	49	332
55	329	55	332
62	330	62	0
77	331	77	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
30	341	30	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	354
19	352	19	0
32	353	32	0
15	-1	15	0
19	355	19	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	372
16	369	16	372
28	370	28	0
43	371	43	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
30	388	30	0
15	-1	15	396
28	390	28	396
41	391	41	396
54	392	54	396
55	393	55	396
62	394	62	0
75	395	75	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	406
29	404	29	0
39	405	39	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
29	411	29	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	421
29	419	29	0
30	420	30	0
15	-1	15	0
15	-1	15	426
26	423	26	426
27	424	27	0
39	425	39	0
15	-1	15	0
22	427	22	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	445
17	436	17	445
25	437	25	445
40	438	40	445
46	439	46	445
60	440	60	445
73	441	73	445
87	442	87	445
91	443	91	0
106	444	106	0
15	-1	15	0
15	-1	15	0
15	-1	15	450
16	448	16	0
29	449	29	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	463
23	460	23	463
27	461	27	0
41	462	41	0
15	-1	15	0
