Range	Percentage
0-99	92.78%
100-199	1.32%
200-299	0.90%
300-399	0.75%
400-499	0.74%
500-599	0.75%
600-699	0.54%
700-799	0.27%
800-899	0.20%
900-999	0.17%
1000-1099	0.16%
1100-1199	0.13%
1200-1299	0.11%
1300-1399	0.10%
1400-1499	0.09%
1500-1599	0.08%
1600-1699	0.08%
1700-1799	0.07%
1800-1899	0.06%
1900-1999	0.06%
2000-2099	0.06%
2100-2199	0.05%
2200-2299	0.04%
2300-2399	0.04%
2400-2499	0.03%
2500-2599	0.03%
2600-2699	0.03%
2700-2799	0.02%
2800-2899	0.02%
2900-2999	0.02%
3000-3099	0.02%
3100-3199	0.02%
3200-3299	0.02%
3300-3399	0.02%
3400-3499	0.02%
3500-3599	0.02%
3600-3699	0.02%
3700-3799	0.02%
3800-3899	0.02%
3900-3999	0.01%
4000-4099	0.01%
4100-4199	0.01%
4200-4299	0.01%
4300-4399	0.01%
4400-4499	0.01%
4500-4599	0.01%
4600-4699	0.01%
4700-4799	0.01%
4800-4899	0.01%
4900-4999	0.01%
5000-5000	0.00%
