                                     | Core 0    
  Instructions                       |  261138029
  Cycles                             |   98016212
  IPC                                |       2.66
  Time (ns)                          |   36848200
  Idle time (ns)                     |      15518
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |   45376111
  num incorrect                      |     437418
  misprediction rate                 |      0.95%
  mpki                               |       1.68
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   41481748
    num misses                       |        103
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   90605036
    num misses                       |       1380
    miss rate                        |      0.00%
    mpki                             |       0.01
  L2 TLB                             |           
    num accesses                     |       1483
    num misses                       |        873
    miss rate                        |     58.87%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   41481748
    num cache misses                 |       2293
    miss rate                        |      0.01%
    mpki                             |       0.01
  Cache L1-D                         |           
    num cache accesses               |   90605036
    num cache misses                 |      74456
    miss rate                        |      0.08%
    mpki                             |       0.29
  Cache L2                           |           
    num cache accesses               |      76818
    num cache misses                 |      76001
    miss rate                        |     98.94%
    mpki                             |       0.29
  Cache L3                           |           
    num cache accesses               |      76073
    num cache misses                 |      31866
    miss rate                        |     41.89%
    mpki                             |       0.12
DRAM summary                         |           
  num dram accesses                  |      31866
  average dram access latency (ns)   |    1356.79
  average dram queueing delay        |    1303.37
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |      12730
  num loads from dram cache          |          0
  num loads from remote cache        |          0
